Year,Cash
2026,
2027,
2028,-31800.00
2029,-63600.00
2030,-95400.00
2031,-127200.00
2032,-159000.00
2033,-190800.00
2034,-222600.00
2035,-254400.00
2036,-286200.00
2037,-318000.00
2038,-349800.00
2039,-381600.00
2040,-413400.00
2041,-445200.00
2042,-477000.00
2043,-508800.00
2044,-540600.00
2045,-572400.00
2046,-604200.00
2047,-636000.00
2048,-667800.00
2049,-699600.00
2050,-731400.00
2051,-763200.00
2052,-795000.00
2053,-826800.00
2054,-858600.00
2055,-890400.00
2056,-922200.00
2057,-954000.00
2058,-985800.00
2059,-1017600.00
2060,-1049400.00
